reactant_smiles,solvent_a_smiles,solvent_b_smiles,solvent_b_fraction,temperature_c,residence_time_s,residence_time_min,starting_material_recovery_percent_raw,product_sum_yield_percent_raw,mass_balance_sum_percent,starting_material_gt_100,mass_balance_gt_100,pressure_kpa_raw,product_2_yield_percent
C=CCOc1ccccc1OCC=C,COC(C)(C)C,CCC(C)=O,0.0,200.0,901.032470703125,15.017207845052083,85.53527069091797,9.394640445709229,94.9299111366272,False,False,5500.0,4.1829118728637695
C=CCOc1ccccc1OCC=C,CC#N,CC#N.CC(=O)O,1.0,175.0,900.597412109375,15.009956868489583,88.11196899414062,5.822475433349609,93.93444442749023,False,False,5500.0,2.8949620723724365
C=CCOc1ccccc1OCC=C,C1CCCCC1,CC(C)O,0.6763203491248972,175.0,899.3129272460938,14.988548787434896,95.51322174072266,1.8090865015983582,97.32230824232101,False,False,5500.0,0.8570642471313477
C=CCOc1ccccc1OCC=C,OC(C(F)(F)F)C(F)(F)F,CC1CCCO1,1.0,225.0,900.2811279296875,15.004685465494791,17.718189239501953,55.5753059387207,73.29349517822266,False,False,5500.0,30.68132781982422
C=CCOc1ccccc1OCC=C,CC1CCCO1,CCOCC,1.0,175.0,311.7528381347656,5.195880635579427,99.10283660888672,0.0,99.10283660888672,False,False,5500.0,0.0
C=CCOc1ccccc1OCC=C,CC1CCCO1,CCOCC,0.6298043948996351,175.0,899.5121459960938,14.991869099934895,94.96773529052734,0.0,94.96773529052734,False,False,5500.0,0.0
C=CCOc1ccccc1OCC=C,CC1CCCO1,CCOCC,0.6591674052006041,225.0,899.3129272460938,14.988548787434896,34.11724090576172,45.782304763793945,79.89954566955566,False,False,5500.0,28.20665168762207
C=CCOc1ccccc1OCC=C,OCC(F)(F)F,O.OCC(F)(F)F,0.7060230203152306,175.0,900.4522705078125,15.007537841796875,79.34632873535156,32.9795036315918,112.32583236694336,False,True,5500.0,15.24888801574707
C=CCOc1ccccc1OCC=C,CC(=O)N(C)C,CCCCCCCCCCO,1.0,175.0,130.1198272705078,2.1686637878417967,91.41210174560547,0.0,91.41210174560547,False,False,5500.0,0.0
C=CCOc1ccccc1OCC=C,CO,OCCO,0.3301526725888501,175.0,900.2453002929688,15.004088338216146,83.5024642944336,7.615379810333252,91.11784410476685,False,False,5500.0,4.20681095123291
C=CCOc1ccccc1OCC=C,C1CCCCC1,CC(C)O,0.6698473274111498,175.0,899.752197265625,14.995869954427084,95.3244857788086,2.0069658160209656,97.33145159482956,False,False,5500.0,0.8931321501731873
C=CCOc1ccccc1OCC=C,OC(C(F)(F)F)C(F)(F)F,CC1CCCO1,0.0,175.46966552734375,901.032470703125,15.017207845052083,31.8441162109375,60.8561897277832,92.7003059387207,False,False,5500.0,27.480308532714844
C=CCOc1ccccc1OCC=C,CC(=O)N(C)C,CCCCCCCCCCO,0.0,175.0,420.48162841796875,7.008027140299479,90.25318145751953,0.0,90.25318145751953,False,False,5500.0,0.0
C=CCOc1ccccc1OCC=C,CO,OCCO,0.0011470644325339563,225.0,900.0514526367188,15.000857543945312,0.0,65.29608345031738,65.29608345031738,False,False,5500.0,33.89728927612305
